C,time,w,Z,J,J_up,J_down
213.930979611903,2020-06-20T07:00:00.005Z,-0.211936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
211.507978872805,2020-06-20T07:00:00.203Z,-0.151936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
201.275977823763,2020-06-20T07:00:00.403Z,-0.361936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
195.049979077845,2020-06-20T07:00:00.603Z,-0.00193645150538829,downdraft,1,"(-1.78,119]","(-1.57,119]"
189.907979321033,2020-06-20T07:00:00.802Z,0.0680635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
192.978965688248,2020-06-20T07:00:01.001Z,0.158063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
217.469980637105,2020-06-20T07:00:01.201Z,0.0680635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
203.795978777438,2020-06-20T07:00:01.400Z,0.688063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
201.565977418453,2020-06-20T07:00:01.602Z,0.578063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
196.567986330527,2020-06-20T07:00:01.804Z,-0.0819364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
191.221984070336,2020-06-20T07:00:01.999Z,-0.291936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
183.175975487267,2020-06-20T07:00:02.199Z,-0.231936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
184.346970716519,2020-06-20T07:00:02.399Z,-0.531936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
199.936982997451,2020-06-20T07:00:02.599Z,0.0280635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
190.095974247492,2020-06-20T07:00:02.802Z,0.998063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
173.79597877744,2020-06-20T07:00:03Z,0.118063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
177.475977871449,2020-06-20T07:00:03.198Z,-0.231936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
